                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.5345,                 2.1899,                 1.0775,                 1.4207,                0.14189,                0.59091,                0.18487,                0.07623,                0.11611,                0.40909,                 0.1272,                0.03391,                 2.3205,                 6.3849,                 8.2343,                 2.5027,              0.0010195,              0.0010195,              0.0010195
                     51,                 1.5753,                 2.1931,                 1.0577,                 1.3981,                0.14189,                0.59091,                0.18487,                0.07623,                0.11611,                0.40909,                 0.1272,                0.03391,                 2.3205,                 6.3849,                 8.2343,                 2.5027,                0.00101,                0.00101,                0.00101
                     52,                 1.6487,                 2.1539,                 1.1509,                 1.5557,                    0.5,                0.13636,                0.16374,                0.05698,                    0.5,                0.13636,                0.16404,                0.06775,                  2.283,                 3.5759,                 23.286,                 2.4372,                0.00101,                0.00101,                0.00101
                     53,                 1.5298,                 2.0997,                  1.067,                 1.3806,                    0.5,                0.13636,                0.16374,                0.05698,                    0.5,                0.13636,                0.16404,                0.06775,                  2.283,                 3.5759,                 23.286,                 2.4372,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.6539,                 2.2436,                 1.0331,                 1.3939,                0.08696,                0.18182,                0.06099,                0.02897,                 0.1087,                0.22727,                0.08432,                0.03024,                  1.936,                 3.3385,                 32.156,                 1.9183,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.5433,                 2.1812,                 1.0642,                 1.3273,                0.08696,                0.18182,                0.06099,                0.02897,                 0.1087,                0.22727,                0.08432,                0.03024,                  1.936,                 3.3385,                 32.156,                 1.9183,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.5491,                 2.1077,                 1.0054,                 1.3467,                0.03416,                0.63636,                0.04852,                0.01699,                0.06061,                0.18182,                0.06165,                0.01733,                 2.0966,                 3.2212,                  27.81,                 1.9668,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.4468,                 1.9403,                 1.0278,                 1.3451,                0.03416,                0.63636,                0.04852,                0.01699,                0.06061,                0.18182,                0.06165,                0.01733,                 2.0966,                 3.2212,                  27.81,                 1.9668,               0.000911,               0.000911,               0.000911
                     58,                 1.4965,                 2.0201,                0.96749,                 1.3475,                0.05546,                0.31818,                0.06897,                0.02765,                0.05531,                0.31818,                0.05403,                0.01895,                 2.1652,                 3.5799,                 17.559,                 1.9945,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.4384,                 2.2251,                0.93155,                 1.2638,                0.05546,                0.31818,                0.06897,                0.02765,                0.05531,                0.31818,                0.05403,                0.01895,                 2.1652,                 3.5799,                 17.559,                 1.9945,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.5285,                 2.2017,                 1.0404,                 1.3262,                 0.2435,                0.18182,                0.16571,                0.06752,                 0.2435,                0.18182,                0.15527,                0.05054,                 2.2859,                 3.3115,                 6.9995,                 1.9874,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.4707,                  2.221,                0.99747,                 1.4055,                 0.2435,                0.18182,                0.16571,                0.06752,                 0.2435,                0.18182,                0.15527,                0.05054,                 2.2859,                 3.3115,                 6.9995,                 1.9874,              0.0008318,              0.0008318,              0.0008318
